,building_id,district_id,vdcmun_id,ward_id,count_floors_pre_eq,count_floors_post_eq,age_building,plinth_area_sq_ft,height_ft_pre_eq,height_ft_post_eq,land_surface_condition,foundation_type,roof_type,ground_floor_type,other_floor_type,position,plan_configuration,condition_post_eq,damage_grade,technical_solution_proposed,superstructure,floors_change,height_change
165448,215407000321,21,2104,210407,2,3,60,300,15,15,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Brick/Stone,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,0
165451,215407000341,21,2104,210407,2,3,5,340,20,20,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Brick/Stone,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,0
165473,215407000531,21,2104,210407,2,3,20,350,20,20,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Brick/Stone,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,0
165490,215407000671,21,2104,210407,2,3,26,350,20,20,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Brick/Stone,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,0
165567,215407001391,21,2104,210407,2,3,24,340,15,15,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Brick/Stone,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,0
165732,215408001401,21,2104,210407,2,3,8,360,20,20,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Brick/Stone,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,0
167336,220201000751,22,2206,220602,1,8,81,250,8,8,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,Not applicable,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-7,0
170039,220401020302,22,2202,220203,1,2,0,810,10,20,Flat,RC,RCC/RB/RBC,RC,Not applicable,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_rc_non_engineered,-1,-10
170125,220401021111,22,2202,220203,3,4,13,768,38,38,Steep slope,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Damaged-Repaired and used,Grade 3,Major repair,has_superstructure_rc_non_engineered,-1,0
170126,220401021121,22,2202,220203,2,3,0,804,20,30,Steep slope,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-2 side,Rectangular,Damaged-Repaired and used,Grade 1,Minor repair,has_superstructure_rc_non_engineered,-1,-10
170168,220401021511,22,2202,220203,3,5,9,748,29,47,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-2 side,Rectangular,Not damaged,Grade 1,No need,has_superstructure_rc_non_engineered,-2,-18
175265,220410030241,22,2202,220206,1,2,2,594,10,18,Flat,RC,RCC/RB/RBC,RC,Not applicable,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_cement_mortar_brick,-1,-8
175455,220410031982,22,2202,220206,1,2,11,700,10,20,Flat,RC,RCC/RB/RBC,RC,Not applicable,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_cement_mortar_brick,-1,-10
175476,220410032191,22,2202,220206,1,2,1,1020,10,20,Flat,RC,RCC/RB/RBC,RC,Not applicable,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,Minor repair,has_superstructure_cement_mortar_brick,-1,-10
175489,220410032301,22,2202,220206,1,2,5,1120,10,20,Flat,RC,RCC/RB/RBC,RC,Not applicable,Attached-1 side,Rectangular,Damaged-Repaired and used,Grade 1,Minor repair,has_superstructure_cement_mortar_brick,-1,-10
176709,220413002202,22,2202,220207,1,6,3,450,6,6,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,Not applicable,Not attached,Rectangular,Damaged-Repaired and used,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-5,0
179649,220805000451,22,2202,220208,1,2,5,532,7,14,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,Not applicable,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,Minor repair,has_superstructure_mud_mortar_stone,-1,-7
181203,221006000201,22,2204,220406,1,7,15,228,7,7,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Brick/Stone,Not applicable,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-6,0
183919,221401001081,22,2207,220706,2,5,20,384,9,9,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_mud_mortar_stone,-3,0
187354,221609002001,22,2208,220806,2,3,67,305,12,12,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
189113,221807010121,22,2204,220409,1,6,26,315,6,6,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-5,0
189242,221901000221,22,2207,220702,3,6,26,459,18,18,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Not used,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-3,0
191664,222105000161,22,2209,220903,3,9,6,527,21,21,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-6,0
196066,222407030271,22,2205,220505,1,3,1,767,9,27,Flat,RC,RCC/RB/RBC,RC,Not applicable,Attached-2 side,Rectangular,Not damaged,Grade 1,No need,has_superstructure_cement_mortar_brick,-2,-18
196541,222409021181,22,2205,220506,1,2,1,538,9,18,Flat,RC,RCC/RB/RBC,RC,Not applicable,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_cement_mortar_brick,-1,-9
199436,222608000111,22,2201,220105,2,3,14,377,14,21,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,-7
205418,223209001321,22,2202,220209,1,2,5,656,8,8,Moderate slope,Cement-Stone/Brick,Bamboo/Timber-Light roof,RC,Not applicable,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_cement_mortar_brick,-1,0
220207,224605000101,22,2208,220808,3,6,30,313,15,15,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-3,0
222897,224803000712,22,2206,220609,1,2,1,1204,9,18,Flat,RC,RCC/RB/RBC,RC,Not applicable,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_rc_non_engineered,-1,-9
227485,230103000081,23,2309,230904,2,3,1,612,24,24,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Others,Damaged-Repaired and used,Grade 1,No need,has_superstructure_cement_mortar_brick,-1,0
230039,230304000212,23,2310,231012,1,2,1,900,9,18,Flat,Cement-Stone/Brick,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Square,Not damaged,Grade 1,No need,has_superstructure_cement_mortar_brick,-1,-9
234812,230608001471,23,2302,230204,1,2,4,325,9,18,Flat,RC,Bamboo/Timber-Light roof,RC,RCC/RB/RBC,Attached-2 side,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_cement_mortar_brick,-1,-9
234986,230609001231,23,2302,230204,3,4,15,396,27,36,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 3,Major repair,has_superstructure_cement_mortar_brick,-1,-9
235014,230609001491,23,2302,230204,1,2,1,570,9,18,Moderate slope,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-2 side,Rectangular,Damaged-Repaired and used,Grade 3,Minor repair,has_superstructure_cement_mortar_brick,-1,-9
241199,231202000051,23,2310,231001,2,3,1,908,18,27,Flat,RC,RCC/RB/RBC,Brick/Stone,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_rc_engineered,-1,-9
241201,231202000071,23,2310,231001,2,3,1,1019,18,27,Flat,RC,RCC/RB/RBC,Brick/Stone,RCC/RB/RBC,Attached-2 side,Rectangular,Not damaged,Grade 1,Minor repair,has_superstructure_rc_engineered,-1,-9
241205,231202000111,23,2310,231001,2,3,2,598,18,27,Flat,RC,RCC/RB/RBC,Brick/Stone,RCC/RB/RBC,Attached-2 side,Rectangular,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_rc_non_engineered,-1,-9
255078,232301000022,23,2313,231303,2,3,30,546,18,18,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Used in risk,Grade 4,Reconstruction,has_superstructure_adobe_mud,-1,0
255945,232307001111,23,2313,231303,1,9,3,338,9,9,Flat,RC,RCC/RB/RBC,Brick/Stone,RCC/RB/RBC,Not attached,Rectangular,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_cement_mortar_brick,-8,0
256782,232406000131,23,2307,230702,2,3,5,627,12,12,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
264710,233205000291,23,2301,230101,1,2,2,660,9,18,Flat,Cement-Stone/Brick,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_cement_mortar_brick,-1,-9
264798,233206000401,23,2301,230101,1,9,2,345,9,9,Moderate slope,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_cement_mortar_brick,-8,0
266406,233404000061,23,2310,231009,1,2,38,338,19,19,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Attached-1 side,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
275863,234209002911,23,2309,230903,1,7,10,261,7,7,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Used in risk,Grade 3,Minor repair,has_superstructure_mud_mortar_stone,-6,0
275941,234301000261,23,2303,230301,1,8,9,368,8,8,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,RC,TImber/Bamboo-Mud,Attached-1 side,Rectangular,Damaged-Used in risk,Grade 4,Reconstruction,has_superstructure_timber,-7,0
280891,234606010821,23,2301,230107,2,3,30,1000,20,30,Moderate slope,Cement-Stone/Brick,Bamboo/Timber-Light roof,Brick/Stone,TImber/Bamboo-Mud,Attached-2 side,Rectangular,Damaged-Repaired and used,Grade 3,Major repair,has_superstructure_cement_mortar_brick,-1,-10
280925,234606011111,23,2301,230107,1,2,1,800,10,10,Moderate slope,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Damaged-Repaired and used,Grade 3,Major repair,has_superstructure_rc_non_engineered,-1,0
283085,234802001792,23,2310,231011,1,2,3,575,9,18,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-2 side,Rectangular,Not damaged,Grade 1,No need,has_superstructure_cement_mortar_brick,-1,-9
283601,234805000921,23,2310,231011,2,3,12,1120,20,30,Flat,RC,Bamboo/Timber-Light roof,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,No need,has_superstructure_rc_engineered,-1,-10
283605,234805000943,23,2310,231011,1,2,10,180,10,20,Flat,Cement-Stone/Brick,Bamboo/Timber-Light roof,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,Minor repair,has_superstructure_cement_mortar_brick,-1,-10
283633,234805001183,23,2310,231011,2,3,1,900,20,30,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,Minor repair,has_superstructure_rc_engineered,-1,-10
283772,234806000311,23,2310,231011,1,3,1,1575,10,30,Flat,Cement-Stone/Brick,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Damaged-Repaired and used,Grade 1,No need,has_superstructure_cement_mortar_brick,-2,-20
283791,234806000451,23,2310,231011,1,2,1,588,10,20,Flat,Cement-Stone/Brick,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_cement_mortar_brick,-1,-10
283808,234806000581,23,2310,231011,1,2,1,900,10,20,Flat,Mud mortar-Stone/Brick,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Square,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_cement_mortar_brick,-1,-10
290937,235703000251,23,2302,230209,1,6,6,150,6,6,Flat,Bamboo/Timber,Bamboo/Timber-Light roof,Mud,Not applicable,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_other,-5,0
291051,235705000341,23,2302,230209,2,3,6,450,16,16,Moderate slope,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_stone_flag,-1,0
291871,235801001011,23,2304,230410,1,2,1,682,10,20,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,L-shape,Not damaged,Grade 1,No need,has_superstructure_cement_mortar_brick,-1,-10
298125,236207000171,23,2310,231005,2,3,30,390,18,18,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
301430,236601000671,23,2304,230401,1,6,36,270,6,6,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Major repair,has_superstructure_mud_mortar_stone,-5,0
303613,236801000921,23,2303,230302,3,4,4,400,24,24,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_cement_mortar_brick,-1,0
303642,236801001161,23,2303,230302,2,3,3,300,21,21,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Not used,Grade 2,Minor repair,has_superstructure_cement_mortar_brick,-1,0
314102,237709000041,23,2304,230414,2,3,15,400,24,24,Moderate slope,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Square,Damaged-Not used,Grade 4,Major repair,has_superstructure_mud_mortar_stone,-1,0
314586,237802001011,23,2312,231206,2,3,27,345,21,21,Flat,Cement-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 5,Reconstruction,has_superstructure_cement_mortar_stone,-1,0
321908,240601011831,24,2401,240105,2,3,1,627,18,18,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_cement_mortar_brick,-1,0
322973,240604011441,24,2401,240109,2,3,3,854,27,27,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Not damaged,Grade 1,No need,has_superstructure_rc_engineered,-1,0
323094,240604012651,24,2401,240109,2,3,1,758,18,18,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,L-shape,Not damaged,Grade 1,No need,has_superstructure_rc_engineered,-1,0
323981,240606011521,24,2401,240108,2,3,13,500,16,16,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Not damaged,Grade 1,No need,has_superstructure_rc_engineered,-1,0
325467,240610040491,24,2401,240107,2,3,15,854,18,18,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Not damaged,Grade 1,No need,has_superstructure_rc_non_engineered,-1,0
325509,240610050361,24,2401,240107,1,2,25,650,8,8,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,No need,has_superstructure_rc_engineered,-1,0
325523,240610050501,24,2401,240107,2,3,4,450,16,16,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Not damaged,Grade 1,Minor repair,has_superstructure_rc_engineered,-1,0
326161,240611024171,24,2401,240106,2,3,10,500,18,18,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_rc_engineered,-1,0
331779,241309000371,24,2402,240204,1,2,15,350,7,14,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Repaired and used,Grade 5,Reconstruction,has_superstructure_mud_mortar_stone,-1,-7
332313,241404001281,24,2408,240810,2,3,3,380,18,18,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,0
338270,242108002241,24,2411,241110,2,3,20,655,18,18,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Not used,Grade 3,Major repair,has_superstructure_adobe_mud,-1,0
339699,242301000631,24,2405,240508,2,3,20,350,18,18,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_adobe_mud,-1,0
340533,242303032311,24,2405,240507,1,4,2,250,9,36,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Not damaged,Grade 1,No need,has_superstructure_rc_engineered,-3,-27
341689,242307010042,24,2405,240504,1,2,12,750,8,17,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Not damaged,Grade 1,No need,has_superstructure_adobe_mud,-1,-9
341999,242307012672,24,2405,240504,2,3,9,1050,18,26,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,Minor repair,has_superstructure_rc_engineered,-1,-8
342006,242307012731,24,2405,240504,1,2,7,900,10,18,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Square,Not damaged,Grade 1,No need,has_superstructure_rc_non_engineered,-1,-8
342083,242307013461,24,2405,240504,2,5,10,1050,20,40,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-2 side,Rectangular,Not damaged,Grade 1,Minor repair,has_superstructure_cement_mortar_brick,-3,-20
342105,242307013671,24,2405,240504,1,3,8,625,10,24,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Square,Not damaged,Grade 1,No need,has_superstructure_cement_mortar_brick,-2,-14
342387,242309000541,24,2405,240505,1,2,1,770,8,8,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,Minor repair,has_superstructure_rc_non_engineered,-1,0
342483,242309001441,24,2405,240505,2,3,5,630,16,16,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_rc_non_engineered,-1,0
343178,242406000031,24,2402,240202,1,2,3,650,20,20,Moderate slope,Cement-Stone/Brick,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Damaged-Not used,Grade 3,Minor repair,has_superstructure_mud_mortar_stone,-1,0
348912,243108000241,24,2407,240708,2,5,4,252,14,14,Flat,Bamboo/Timber,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-3,0
349348,243204000511,24,2407,240702,1,2,18,527,14,14,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Attached-1 side,Rectangular,Damaged-Repaired and used,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,0
350274,243306000141,24,2404,240409,1,2,2,900,9,18,Flat,Cement-Stone/Brick,RCC/RB/RBC,Brick/Stone,RCC/RB/RBC,Not attached,Square,Damaged-Used in risk,Grade 3,Major repair,has_superstructure_cement_mortar_stone,-1,-9
350628,243401000511,24,2411,241107,1,2,10,780,18,18,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 2,Minor repair,has_superstructure_rc_non_engineered,-1,0
350786,243402000071,24,2411,241107,1,2,22,750,9,18,Flat,RC,RCC/RB/RBC,Mud,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_rc_non_engineered,-1,-9
350787,243402000081,24,2411,241107,1,2,13,800,9,18,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,No need,has_superstructure_rc_non_engineered,-1,-9
354787,243705000792,24,2410,241012,2,3,5,650,16,16,Flat,Mud mortar-Stone/Brick,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,No need,has_superstructure_mud_mortar_stone,-1,0
355085,243708000521,24,2410,241012,1,2,1,350,9,18,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 2,Major repair,has_superstructure_mud_mortar_stone,-1,-9
356507,243901010261,24,2404,240406,2,3,18,205,10,10,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
356993,243906000381,24,2404,240406,1,2,14,198,16,16,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
357540,244003000481,24,2412,241207,2,3,26,480,20,20,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_mud_mortar_stone,-1,0
358312,244103001041,24,2405,240509,1,2,2,825,10,20,Moderate slope,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Damaged-Repaired and used,Grade 1,Minor repair,has_superstructure_rc_non_engineered,-1,-10
360482,244304001041,24,2409,240907,1,2,15,299,14,14,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,0
360712,244305001241,24,2409,240907,1,2,13,375,6,12,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 2,Minor repair,has_superstructure_mud_mortar_stone,-1,-6
360850,244307000181,24,2409,240907,2,3,40,247,20,20,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-1,0
362599,244508000251,24,2412,241208,1,2,51,307,12,12,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
363028,244608010151,24,2403,240306,2,3,3,392,21,21,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 2,Minor repair,has_superstructure_mud_mortar_stone,-1,0
363804,244801000811,24,2413,241307,2,3,20,475,25,25,Flat,Cement-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 2,Minor repair,has_superstructure_mud_mortar_stone,-1,0
364515,244901000851,24,2410,241003,2,3,2,375,13,13,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,Timber-Planck,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
364566,244901001281,24,2410,241003,2,3,45,384,18,18,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,Timber-Planck,Attached-2 side,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
364980,244902003011,24,2410,241003,1,2,2,550,9,18,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Repaired and used,Grade 1,Minor repair,has_superstructure_cement_mortar_stone,-1,-9
365081,244903000841,24,2410,241003,1,2,5,315,7,14,Flat,RC,RCC/RB/RBC,RC,RCC/RB/RBC,Not attached,Rectangular,Damaged-Used in risk,Grade 3,Major repair,has_superstructure_rc_engineered,-1,-7
365269,244903002441,24,2410,241003,2,3,13,750,20,20,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,RC,RCC/RB/RBC,Not attached,Rectangular,Not damaged,Grade 1,Major repair,has_superstructure_cement_mortar_brick,-1,0
365947,244907001671,24,2410,241002,1,2,10,400,9,15,Flat,Mud mortar-Stone/Brick,RCC/RB/RBC,RC,RCC/RB/RBC,Attached-1 side,Rectangular,Damaged-Used in risk,Grade 3,Major repair,has_superstructure_cement_mortar_brick,-1,-6
366140,244908001141,24,2410,241002,1,8,7,150,8,8,Flat,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-7,0
367123,245004000411,24,2413,241309,1,2,31,420,20,20,Moderate slope,Mud mortar-Stone/Brick,Bamboo/Timber-Heavy roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Not used,Grade 4,Reconstruction,has_superstructure_mud_mortar_stone,-1,0
367309,245004002111,24,2413,241309,2,5,10,340,18,18,Moderate slope,Mud mortar-Stone/Brick,Bamboo/Timber-Light roof,Mud,TImber/Bamboo-Mud,Not attached,Rectangular,Damaged-Used in risk,Grade 3,Major repair,has_superstructure_mud_mortar_stone,-3,0
